name,date_apr,date,lot,kettle,compay,wled,base_oil_pct,base_gr_pct,liq_add_pct,sol_add_pct,si_pct,total_pct,pen,elco_xx,Flag for Removal,thickener,adj_base_pct,adj_sol_pct,adj_liq_pct,adj_si_pct,rework
Cotton Picker Greaes #00,10/6/23,279,Z04048I,B2,SC Fuels,none,0.6884343,0.30,0.01,0.00,0.00,1.00,422,FALSE,FALSE,LI,0.9555759,0.0000000,0.0444241,0.0000000,0.0000000
Cotton Picker Greaes #00,10/12/23,285,Z11127I,B2,SC Fuels,none,0.6969868,0.29,0.02,0.00,0.00,1.00,401,FALSE,FALSE,LI,0.9442871,0.0000000,0.0557129,0.0000000,0.0000000
Cotton Picker Greaes #00,10/17/23,290,Z16147I,B2,SC Fuels,none,0.7839407,0.20,0.01,0.00,0.00,1.00,407,FALSE,FALSE,LI,0.9433734,0.0000000,0.0566266,0.0000000,0.0000000
Cotton Picker Greaes #00,10/19/23,292,Z18212I,B2,SC Fuels,none,0.5603419,0.43,0.01,0.00,0.00,1.00,408,FALSE,FALSE,LI,0.9719392,0.0000000,0.0280608,0.0000000,0.0000000
Cotton Picker Greaes #00,10/13/23,286,Z13146I,B2,SC Fuels,none,0.7886816,0.20,0.01,0.00,0.00,1.00,410,FALSE,FALSE,LI,0.9431453,0.0000000,0.0568547,0.0000000,0.0000000
All Fleet 3% Mining Grease #1 ,3/8/23,67,S08077I,Bentone,Reladyne,500kg,0.1870324,0.67,0.09,0.05,0.00,1.00,327,FALSE,FALSE,LX,0.8220859,0.0674847,0.1104294,0.0000000,0.0000000
All Fleet 3% Mining Grease #1 ,3/9/23,68,S09086I,Bentone,Reladyne,500kg,0.1904406,0.68,0.08,0.05,0.00,1.00,330,FALSE,FALSE,LX,0.8452235,0.0563756,0.0984010,0.0000000,0.0000000
All Fleet 3% Mining Grease #1 ,3/7/23,66,S07056I,Bentone,Reladyne,500kg,0.3080891,0.55,0.09,0.06,0.00,1.00,334,FALSE,FALSE,LX,0.7889335,0.0798761,0.1311904,0.0000000,0.0000000
Coupling Grease 6 #1,9/23/23,266,Y22151I,Bentone,Engineered Lubricants,500 kg,0.4576135,0.46,0.04,0.04,0.00,1.00,323,FALSE,FALSE,LX,0.8494372,0.0779359,0.0726269,0.0000000,0.0000000
FPL 105 BLACK CAT #1,3/16/23,75,S16138I,Bentone,Frontier ,620 KGF,0.1659904,0.69,0.08,0.07,0.00,1.00,322,FALSE,FALSE,LX,0.8278638,0.0818222,0.0903140,0.0000000,0.0000000
FPL 105 BLACK CAT #1,4/7/23,97,T07038I,Bentone,Frontier ,620 KGF,0.2698199,0.58,0.08,0.07,0.00,1.00,328,FALSE,FALSE,LX,0.7879578,0.1008586,0.1111836,0.0000000,0.0000000
FPL 105 BLACK CAT #1,2/24/23,55,R15150I,Bentone,Frontier ,620 KGF,0.0000000,0.87,0.10,0.04,0.00,1.00,332,FALSE,FALSE,LX,0.8672486,0.0357102,0.0970412,0.0000000,0.2537856
FPL 105 BLACK CAT #1,3/31/23,90,S252222I,Bentone,Frontier ,620 KGF,0.4846072,0.39,0.07,0.06,0.00,1.00,315,FALSE,FALSE,LX,0.7549453,0.1096796,0.1353751,0.0000000,0.0000000
FPL 105 BLACK CAT #1,7/6/23,187,W05005I,Bentone,Frontier ,620 KGF,0.8437500,0.09,0.00,0.06,0.00,1.00,337,FALSE,FALSE,LX,0.6000000,0.4000000,0.0000000,0.0000000,0.7575758
FPL 123 Con Ag with Moly #1,9/5/23,248,X29260I,Bentone,Frontier,500 kg,0.4962399,0.57,0.03,0.06,0.00,1.16,319,TRUE,FALSE,LI,1.1389872,0.1163374,0.0664050,0.0000000,0.1147776
